"CourseName","SubjectName","TopicName","ChapterName","KSCText","QuestionId","imageHTML","UseAs"
"7/8 CBSE","Biology","Human Physiology","Body fluids and circulation","Lymphatic Organs: Spleen -1",37496,"","Example"
"7/8 CBSE","Biology","Human Physiology","Neural Control and Coordination","Functions of Ear",37798,"","Example"
